City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Saldanha,ZA,2022-10-03 05:40:44,-33.0117,17.9442,57.25,84,100,4.0
131,Shelburne,CA,2022-10-03 05:40:45,44.0787,-80.2041,41.36,70,55,3.15
132,Buchanan,LR,2022-10-03 05:40:45,5.8808,-10.0467,74.8,90,98,2.19
133,Soto La Marina,MX,2022-10-03 05:40:46,23.7667,-98.2167,67.77,87,27,3.4
134,Minab,IR,2022-10-03 05:40:46,27.1467,57.0801,89.13,55,0,3.74
135,Fandriana,MG,2022-10-03 05:41:47,-20.2333,47.3833,74.01,26,0,4.38
136,Yaring,TH,2022-10-03 05:41:48,6.8662,101.3689,83.28,71,100,3.02
137,Muroto,JP,2022-10-03 05:41:48,33.2833,134.15,77.67,73,43,7.07
138,Berlevag,NO,2022-10-03 05:41:49,70.8578,29.0864,41.0,87,75,9.22
139,Saint Anthony,US,2022-10-03 05:41:49,45.0205,-93.218,63.12,70,0,10.36
140,Benito Juarez,MX,2022-10-03 05:41:10,19.385,-99.165,58.95,74,0,8.05
141,Thai Binh,VN,2022-10-03 05:41:50,20.45,106.3333,85.01,72,21,11.39
142,Orange,US,2022-10-03 05:41:00,33.7,-117.7675,69.89,84,0,3.42
143,Turiacu,BR,2022-10-03 05:41:51,-1.6633,-45.3717,75.43,85,18,5.41
144,Bagdarin,RU,2022-10-03 05:41:52,54.4333,113.6,34.09,25,77,8.81
145,Semirom,IR,2022-10-03 05:41:52,31.4167,51.5667,66.79,17,0,4.47
146,Gazanjyk,TM,2022-10-03 05:41:53,39.2446,55.5154,65.98,10,3,21.16
147,New Norfolk,AU,2022-10-03 05:41:53,-42.7826,147.0587,56.88,48,100,1.99
148,Aksarka,RU,2022-10-03 05:41:54,66.5606,67.7975,36.57,89,100,13.82
149,Georgetown,MY,2022-10-03 05:37:22,5.4112,100.3354,87.75,70,20,5.01
150,Ishinomaki,JP,2022-10-03 05:41:55,38.4167,141.3,71.6,75,100,7.0
