City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Hithadhoo,MV,-0.6,73.0833,81.97,69,100,16.67,overcast clouds
110,Marzuq,YE,14.4,46.4667,71.55,42,3,3.89,clear sky
111,Grindavik,IS,63.8424,-22.4338,51.75,76,100,17.27,overcast clouds
112,Xiongzhou,CN,25.1167,114.3,89.37,50,0,3.15,clear sky
113,Iranshahr,IR,27.2025,60.6848,79.02,33,0,2.64,clear sky
114,Henties Bay,NA,-22.116,14.2845,54.55,95,25,4.9,scattered clouds
115,Arraial Do Cabo,BR,-22.9661,-42.0278,68.36,84,100,4.45,overcast clouds
116,Ewa Beach,US,21.3156,-158.0072,85.98,60,100,16.11,overcast clouds
117,Lebu,CL,-37.6167,-73.65,51.55,92,95,11.79,overcast clouds
118,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,0.0,broken clouds
119,Geraldton,AU,-28.7667,114.6,70.21,40,0,10.36,clear sky
120,Mwene-Ditu,CD,-7.0,23.45,65.55,92,41,3.13,scattered clouds
121,Atuona,PF,-9.8,-139.0333,76.53,76,24,17.81,few clouds
122,Kuryk,KZ,43.2,51.65,58.28,26,0,17.31,clear sky
123,Chimbote,PE,-9.0853,-78.5783,62.33,84,50,8.95,scattered clouds
124,San Pedro,PH,14.35,121.0167,86.32,77,40,4.61,scattered clouds
125,Drovyanaya,RU,51.5833,113.0333,27.66,67,100,4.27,overcast clouds
126,Asau,RO,46.4333,26.4,45.52,82,75,4.16,broken clouds
127,Porto Novo,BJ,6.4965,2.6036,78.62,92,56,5.39,light rain
128,Soyo,AO,-6.1349,12.3689,74.46,88,72,6.55,broken clouds
129,Puerto Escondido,MX,15.85,-97.0667,83.23,57,75,4.61,broken clouds
130,Bethel,US,41.3712,-73.414,49.05,87,100,8.05,overcast clouds
131,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,13.8,scattered clouds
132,New Norfolk,AU,-42.7826,147.0587,52.92,50,94,1.99,overcast clouds
133,Shetpe,KZ,44.1667,52.1167,53.53,32,51,11.86,broken clouds
134,Middelburg,ZA,-25.7751,29.4648,70.72,27,1,6.53,clear sky
135,Vyazemskiy,RU,47.5378,134.7525,37.51,49,0,16.98,clear sky
136,Vestmannaeyjar,IS,63.4427,-20.2734,50.25,81,100,30.4,overcast clouds
137,Ancud,CL,-41.8697,-73.8203,48.45,94,100,11.52,light rain
138,Belaya Gora,RU,68.5333,146.4167,24.67,80,97,5.61,overcast clouds
139,Chuy,UY,-33.6971,-53.4616,54.27,66,87,7.58,overcast clouds
140,Birao,CF,10.2849,22.7882,70.45,97,100,5.95,moderate rain
141,Cherskiy,RU,68.75,161.3,28.74,73,100,7.81,overcast clouds
142,Ostrovnoy,RU,68.0531,39.5131,41.79,79,100,10.27,overcast clouds
143,Tahara,JP,34.6667,137.2667,80.55,63,11,7.25,few clouds
144,Port Keats,AU,-14.25,129.55,87.55,54,40,7.25,scattered clouds
145,Narasannapeta,IN,18.4167,84.05,76.69,94,100,6.15,heavy intensity rain
146,Necochea,AR,-38.5473,-58.7368,45.21,88,100,14.94,overcast clouds
147,Santa Cruz De Tenerife,ES,28.4682,-16.2546,78.46,54,40,5.75,scattered clouds
148,Hambantota,LK,6.1241,81.1185,77.34,94,20,3.44,few clouds
149,Mosetse,BW,-20.75,26.65,71.76,24,0,8.43,clear sky
150,Soe,ID,-9.8607,124.284,81.64,55,61,3.49,broken clouds
151,Tual,ID,-5.6667,132.75,82.45,78,58,6.62,broken clouds
152,Ahipara,NZ,-35.1667,173.1667,59.31,71,91,12.15,overcast clouds
153,Vila Velha,BR,-20.3297,-40.2925,75.15,94,100,10.0,moderate rain
154,Nantucket,US,41.2835,-70.0995,56.14,79,100,30.38,overcast clouds
